,START_DATE,SIMULATION_START_DATE,XTIME units base,time[1],time[-1]
wrfout_d02_2006-03-18_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/18/06 00:00,3/18/06 23:00
wrfout_d02_2006-03-19_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/19/06 00:00,3/19/06 23:00
wrfout_d02_2006-03-20_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/20/06 00:00,3/20/06 23:00
wrfout_d02_2006-03-21_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/21/06 00:00,3/21/06 23:00
wrfout_d02_2006-03-22_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/22/06 00:00,3/22/06 23:00
wrfout_d02_2006-03-23_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/23/06 00:00,3/23/06 23:00
wrfout_d02_2006-03-24_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/24/06 00:00,3/24/06 23:00
wrfout_d02_2006-03-25_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/25/06 00:00,3/25/06 23:00
wrfout_d02_2006-03-26_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/26/06 00:00,3/26/06 23:00
wrfout_d02_2006-03-27_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/27/06 00:00,3/27/06 23:00
wrfout_d02_2006-03-28_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/28/06 00:00,3/28/06 23:00
wrfout_d02_2006-03-29_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/29/06 00:00,3/29/06 23:00
wrfout_d02_2006-03-30_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/30/06 00:00,3/30/06 23:00
wrfout_d02_2006-03-31_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,3/31/06 00:00,3/31/06 23:00
wrfout_d02_2006-04-01_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/1/06 00:00,4/1/06 23:00
wrfout_d02_2006-04-02_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/2/06 00:00,4/2/06 23:00
wrfout_d02_2006-04-03_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/3/06 00:00,4/3/06 23:00
wrfout_d02_2006-04-04_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/4/06 00:00,4/4/06 23:00
wrfout_d02_2006-04-05_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/5/06 00:00,4/5/06 23:00
wrfout_d02_2006-04-06_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/6/06 00:00,4/6/06 23:00
wrfout_d02_2006-04-07_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/7/06 00:00,4/7/06 23:00
wrfout_d02_2006-04-08_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/8/06 00:00,4/8/06 23:00
wrfout_d02_2006-04-09_00:00:00,12/20/05 00:00,12/20/05 00:00,12/20/05 00:00,4/9/06 00:00,4/9/06 23:00
wrfout_d02_2006-04-10_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/10/06 00:00,4/10/06 23:00
wrfout_d02_2006-04-11_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/11/06 00:00,4/11/06 23:00
wrfout_d02_2006-04-12_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/12/06 00:00,4/12/06 23:00
wrfout_d02_2006-04-13_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/13/06 00:00,4/13/06 23:00
wrfout_d02_2006-04-14_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/14/06 00:00,4/14/06 23:00
wrfout_d02_2006-04-15_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/15/06 00:00,4/15/06 23:00
wrfout_d02_2006-04-16_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/16/06 00:00,4/16/06 23:00
wrfout_d02_2006-04-17_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/17/06 00:00,4/17/06 23:00
wrfout_d02_2006-04-18_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/18/06 00:00,4/18/06 23:00
wrfout_d02_2006-04-19_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/19/06 00:00,4/19/06 23:00
wrfout_d02_2006-04-20_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/20/06 00:00,4/20/06 23:00
wrfout_d02_2006-04-21_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/21/06 00:00,4/21/06 23:00
wrfout_d02_2006-04-22_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/22/06 00:00,4/22/06 23:00
wrfout_d02_2006-04-23_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/23/06 00:00,4/23/06 23:00
wrfout_d02_2006-04-24_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/24/06 00:00,4/24/06 23:00
wrfout_d02_2006-04-25_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/25/06 00:00,4/25/06 23:00
wrfout_d02_2006-04-26_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/26/06 00:00,4/26/06 23:00
wrfout_d02_2006-04-27_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/27/06 00:00,4/27/06 23:00
wrfout_d02_2006-04-28_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/28/06 00:00,4/28/06 23:00
wrfout_d02_2006-04-29_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/29/06 00:00,4/29/06 23:00
wrfout_d02_2006-04-30_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,4/30/06 00:00,4/30/06 23:00
wrfout_d02_2006-05-01_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/1/06 00:00,5/1/06 23:00
wrfout_d02_2006-05-02_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/2/06 00:00,5/2/06 23:00
wrfout_d02_2006-05-03_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/3/06 00:00,5/3/06 23:00
wrfout_d02_2006-05-04_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/4/06 00:00,5/4/06 23:00
wrfout_d02_2006-05-05_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/5/06 00:00,5/5/06 23:00
wrfout_d02_2006-05-06_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/6/06 00:00,5/6/06 23:00
wrfout_d02_2006-05-07_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/7/06 00:00,5/7/06 23:00
wrfout_d02_2006-05-08_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/8/06 00:00,5/8/06 23:00
wrfout_d02_2006-05-09_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/9/06 00:00,5/9/06 23:00
wrfout_d02_2006-05-10_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/10/06 00:00,5/10/06 23:00
wrfout_d02_2006-05-11_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/11/06 00:00,5/11/06 23:00
wrfout_d02_2006-05-12_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/12/06 00:00,5/12/06 23:00
wrfout_d02_2006-05-13_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/13/06 00:00,5/13/06 23:00
wrfout_d02_2006-05-14_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/14/06 00:00,5/14/06 23:00
wrfout_d02_2006-05-15_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/15/06 00:00,5/15/06 23:00
wrfout_d02_2006-05-16_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/16/06 00:00,5/16/06 23:00
wrfout_d02_2006-05-17_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/17/06 00:00,5/17/06 23:00
wrfout_d02_2006-05-18_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/18/06 00:00,5/18/06 23:00
wrfout_d02_2006-05-19_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/19/06 00:00,5/19/06 23:00
wrfout_d02_2006-05-20_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/20/06 00:00,5/20/06 23:00
wrfout_d02_2006-05-21_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/21/06 00:00,5/21/06 23:00
wrfout_d02_2006-05-22_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/22/06 00:00,5/22/06 23:00
wrfout_d02_2006-05-23_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/23/06 00:00,5/23/06 23:00
wrfout_d02_2006-05-24_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/24/06 00:00,5/24/06 23:00
wrfout_d02_2006-05-25_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/25/06 00:00,5/25/06 23:00
wrfout_d02_2006-05-26_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/26/06 00:00,5/26/06 23:00
wrfout_d02_2006-05-27_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/27/06 00:00,5/27/06 23:00
wrfout_d02_2006-05-28_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/28/06 00:00,5/28/06 23:00
wrfout_d02_2006-05-29_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/29/06 00:00,5/29/06 23:00
wrfout_d02_2006-05-30_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/30/06 00:00,5/30/06 23:00
wrfout_d02_2006-05-31_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,5/31/06 00:00,5/31/06 23:00
wrfout_d02_2006-06-01_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/1/06 00:00,6/1/06 23:00
wrfout_d02_2006-06-02_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/2/06 00:00,6/2/06 23:00
wrfout_d02_2006-06-03_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/3/06 00:00,6/3/06 23:00
wrfout_d02_2006-06-04_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/4/06 00:00,6/4/06 23:00
wrfout_d02_2006-06-05_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/5/06 00:00,6/5/06 23:00
wrfout_d02_2006-06-06_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/6/06 00:00,6/6/06 23:00
wrfout_d02_2006-06-07_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/7/06 00:00,6/7/06 23:00
wrfout_d02_2006-06-08_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/8/06 00:00,6/8/06 23:00
wrfout_d02_2006-06-09_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/9/06 00:00,6/9/06 23:00
wrfout_d02_2006-06-10_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/10/06 00:00,6/10/06 23:00
wrfout_d02_2006-06-11_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/11/06 00:00,6/11/06 23:00
wrfout_d02_2006-06-12_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/12/06 00:00,6/12/06 23:00
wrfout_d02_2006-06-13_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/13/06 00:00,6/13/06 23:00
wrfout_d02_2006-06-14_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/14/06 00:00,6/14/06 23:00
wrfout_d02_2006-06-15_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/15/06 00:00,6/15/06 23:00
wrfout_d02_2006-06-16_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/16/06 00:00,6/16/06 23:00
wrfout_d02_2006-06-17_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/17/06 00:00,6/17/06 23:00
wrfout_d02_2006-06-18_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/18/06 00:00,6/18/06 23:00
wrfout_d02_2006-06-19_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/19/06 00:00,6/19/06 23:00
wrfout_d02_2006-06-20_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/20/06 00:00,6/20/06 23:00
wrfout_d02_2006-06-21_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/21/06 00:00,6/21/06 23:00
wrfout_d02_2006-06-22_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/22/06 00:00,6/22/06 23:00
wrfout_d02_2006-06-23_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/23/06 00:00,6/23/06 23:00
wrfout_d02_2006-06-24_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/24/06 00:00,6/24/06 23:00
wrfout_d02_2006-06-25_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/25/06 00:00,6/25/06 23:00
wrfout_d02_2006-06-26_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/26/06 00:00,6/26/06 23:00
wrfout_d02_2006-06-27_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/27/06 00:00,6/27/06 23:00
wrfout_d02_2006-06-28_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/28/06 00:00,6/28/06 23:00
wrfout_d02_2006-06-29_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/29/06 00:00,6/29/06 23:00
wrfout_d02_2006-06-30_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,6/30/06 00:00,6/30/06 23:00
wrfout_d02_2006-07-01_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/1/06 00:00,7/1/06 23:00
wrfout_d02_2006-07-02_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/2/06 00:00,7/2/06 23:00
wrfout_d02_2006-07-03_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/3/06 00:00,7/3/06 23:00
wrfout_d02_2006-07-04_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/4/06 00:00,7/4/06 23:00
wrfout_d02_2006-07-05_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/5/06 00:00,7/5/06 23:00
wrfout_d02_2006-07-06_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/6/06 00:00,7/6/06 23:00
wrfout_d02_2006-07-07_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/7/06 00:00,7/7/06 23:00
wrfout_d02_2006-07-08_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/8/06 00:00,7/8/06 23:00
wrfout_d02_2006-07-09_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/9/06 00:00,7/9/06 23:00
wrfout_d02_2006-07-10_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/10/06 00:00,7/10/06 23:00
wrfout_d02_2006-07-11_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/11/06 00:00,7/11/06 23:00
wrfout_d02_2006-07-12_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/12/06 00:00,7/12/06 23:00
wrfout_d02_2006-07-13_00:00:00,4/1/06 00:00,4/1/06 00:00,4/1/06 00:00,7/13/06 00:00,7/13/06 23:00
wrfout_d02_2006-07-14_00:00:00,7/4/06 00:00,7/4/06 00:00,7/4/06 00:00,7/14/06 00:00,7/14/06 23:00
wrfout_d02_2006-07-15_00:00:00,7/4/06 00:00,7/4/06 00:00,7/4/06 00:00,7/15/06 00:00,7/15/06 23:00
